gene_name	transcript_id	se_id	SElet_id	reads_novo_ser	nb_pmt_novo
Ski	ENSMUST00000084103	2354	1170	38.5905528495093	1
Ski	ENSMUST00000084103	2355	1172	65.7793514480272	1
Ski	ENSMUST00000084103	2355	1174	57.0087712549569	1
Tead1	ENSMUST00000084705	3765	1411	105.662061221549	1
Als2cl	ENSMUST00000084926	4748	1528	7.89352217376327	1
Als2cl	ENSMUST00000084926	4748	1529	15.7870443475265	1
Als2cl	ENSMUST00000084926	4748	1530	4.38529009653515	1
Als2cl	ENSMUST00000084926	4748	1532	12.2788122702984	1
Als2cl	ENSMUST00000084926	4748	1536	8.77058019307029	1
Als2cl	ENSMUST00000084926	4748	1537	10.5246962316844	1
Stk30	ENSMUST00000084974	6186	452	12.9903810567666	2
Stk30	ENSMUST00000084974	6188	457	12.9903810567666	2
Stk30	ENSMUST00000084974	6188	459	36.3730669589464	2
Stk30	ENSMUST00000084974	6188	461	18.1865334794732	2
Tulp2	ENSMUST00000085331	3568	1356	15.7870443475265	0
C80913	ENSMUST00000085513	3550	1352	151.480123167177	1
Lefty2	ENSMUST00000085797	611	145	25.4346825599039	1
Dusp27	ENSMUST00000085992	556	124	233.765622171569	1
Dusp27	ENSMUST00000085992	556	125	408.622307555903	1
Kdm2b	ENSMUST00000086200	2770	1237	17.3205080756888	0
Kdm2b	ENSMUST00000086200	2770	1238	15.5884572681199	0
Zfp524	ENSMUST00000086349	3475	1341	22.5166604983954	1
1110012J17Rik	ENSMUST00000086693	7876	782	49.5583119003726	1
1110012J17Rik	ENSMUST00000086693	7876	783	15.8960623076667	1
1110012J17Rik	ENSMUST00000086693	7876	788	61.3940613514921	1
1110012J17Rik	ENSMUST00000086693	7876	789	33.3282047336671	1
1110012J17Rik	ENSMUST00000086693	7876	790	64.9022934287202	1
Spats1	ENSMUST00000087056	7812	766	28.9869371492746	1
Fn1	ENSMUST00000087254	230	39	7.79422863405995	1
Rbpj	ENSMUST00000087360	2510	1180	40.2076870135099	1
Rbpj	ENSMUST00000087360	2510	1181	19.6363122624118	1
Rbpj	ENSMUST00000087360	2510	1182	47.6881869230001	1
Rbpj	ENSMUST00000087360	2510	1183	48.6232494116864	1
Rbpj	ENSMUST00000087360	2510	1184	61.7141242532942	1
Rbpj	ENSMUST00000087360	2510	1186	26.1817496832157	1
Rbpj	ENSMUST00000087360	2510	1187	607.79061764608	1
Dmrt1	ENSMUST00000087525	8399	882	29.9219996379608	1
Hs6st1	ENSMUST00000088174	101	28	28.9869371492746	1
Hs6st1	ENSMUST00000088174	101	29	197.298185112804	1
Hs6st1	ENSMUST00000088174	100	24	56.1317132356499	1
Hs6st1	ENSMUST00000088174	100	25	28.942914637132	1
Sulf1	ENSMUST00000088585	45	1	15.5884572681199	1
Sulf1	ENSMUST00000088585	45	3	8.66025403784439	1
Sulf1	ENSMUST00000088585	45	4	6.92820323027551	1
Sulf1	ENSMUST00000088585	45	5	0.866025403784439	1
Sulf1	ENSMUST00000088585	45	7	5.19615242270663	1
Sulf1	ENSMUST00000088585	45	9	6.06217782649107	1
Sulf1	ENSMUST00000088585	45	13	2.59807621135332	1
Sulf1	ENSMUST00000088585	45	14	2.59807621135332	1
Brd1	ENSMUST00000088911	7285	632	150.54506067849	1
Nudt18	ENSMUST00000089049	6887	535	0.87705801930703	1
Nudt18	ENSMUST00000089049	6887	537	2.63117405792109	1
Nudt18	ENSMUST00000089049	6887	542	2.63117405792109	1
Nudt18	ENSMUST00000089049	6887	545	7.01646415445624	1
Bcl2l1	ENSMUST00000089053	1198	947	82.4434538148608	1
Bcl2l1	ENSMUST00000089053	1198	946	0.866025403784439	1
Tcf15	ENSMUST00000089112	1196	943	25.4346825599039	1
Zfml	ENSMUST00000089597	3184	1265	443.219619637295	1
Zfp57	ENSMUST00000089968	7792	749	3.74024995474511	1
Zfp57	ENSMUST00000089968	7792	754	43.0128744795687	1
